bysex,bystlang,byincome,stu_exp,par_asp,mth_read,mth_test,rd_test,freelnch,stu_tch,putdownt,safe,disrupt,gangs,rac_fght,fair,strict,stolen,drugs,t_hurt,p_fight,hit,damaged,bullied,late,skipped
2,1,6,NA,2,36.71,38.62,36.49,3,3,2,4,3,3,4,3,2,1,1,1,1,1,1,1,3,2
2,1,8,6,6,66.13,61.07,69.15,3,2,3,3,3,2,3,2,2,1,1,1,1,1,1,2,2,1
1,1,2,2,5,35.15,40.63,31.56,4,2,3,3,2,3,2,2,3,2,1,1,1,NA,NA,NA,1,1
1,0,9,2,7,50.75,46.92,54.48,4,3,1,4,4,2,3,4,3,1,1,1,1,1,1,1,3,2
1,1,10,2,5,42.44,41.97,43.88,4,3,3,1,2,1,2,3,3,2,3,1,NA,3,3,1,3,1
2,1,10,5,5,51.22,49.15,53.13,3,2,3,3,3,2,2,2,2,2,1,1,1,1,1,1,5,5
1,1,9,NA,3,53.3,57.25,48.94,4,3,3,3,2,3,2,2,3,2,2,3,1,3,2,1,2,1
1,1,9,6,6,56.78,49.96,62.74,4,2,4,4,3,3,3,2,2,1,1,1,1,1,1,1,1,1
1,1,10,3,5,43.47,40.81,46.96,4,3,3,4,3,4,3,3,2,1,1,1,1,1,1,1,2,1
2,1,9,7,5,49.84,57.55,42.16,3,2,3,4,3,3,3,2,2,2,1,1,1,1,1,1,1,1
2,1,9,NA,3,36.07,41.98,31.93,3,2,4,4,3,4,4,4,2,1,1,1,1,1,1,1,1,1
2,1,9,5,5,50.57,48.81,52.26,3,1,3,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1
1,0,11,5,5,55.97,50.91,60.27,3,2,2,4,2,3,4,3,3,2,1,2,1,1,2,1,5,1
1,1,8,NA,3,37.51,37.66,38.96,5,2,3,3,3,3,3,3,2,2,1,1,1,1,1,1,3,1
2,1,8,7,5,44.89,50.61,39.82,5,2,3,3,2,3,3,2,2,2,1,2,2,2,2,3,1,1
2,1,9,6,6,61.24,57.33,63.72,5,2,3,3,2,3,3,2,3,1,1,1,1,1,1,3,1,1
1,0,10,6,5,40.68,41.01,41.54,7,2,3,3,2,2,3,2,2,2,1,1,1,3,2,1,3,1
2,1,9,7,5,54.57,52.49,56.08,3,3,4,2,2,3,3,3,3,1,1,1,1,3,1,1,2,1
NA,NA,9,NA,6,43.62,46.84,41.22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,12,5,6,54.9,52.85,56.33,3,2,4,4,3,4,3,2,3,1,1,1,1,1,1,1,1,1
1,1,8,5,5,51.22,54.21,48.07,7,2,3,3,3,3,3,2,3,1,1,1,1,1,1,1,2,1
1,1,8,4,6,52.57,45.28,59.53,5,4,1,1,2,4,4,4,2,1,1,1,2,2,1,1,5,NA
2,1,10,6,5,45.72,40.1,51.89,2,2,4,4,3,4,4,2,2,1,1,1,1,1,1,1,1,1
2,1,10,5,5,61.58,61.3,60.4,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
1,1,10,6,6,66.71,70.28,61.01,4,2,3,4,3,4,4,3,3,1,1,1,1,1,1,1,1,1
2,NA,9,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,10,3,6,41.97,40.83,44.13,5,2,3,3,3,3,3,3,2,1,1,1,1,1,1,1,5,1
2,1,7,7,7,35.24,32.05,40.31,5,4,4,3,4,4,4,1,1,1,1,1,1,1,1,1,2,1
2,1,10,5,5,54.05,57.54,50.05,3,2,3,3,1,4,4,3,2,1,1,1,1,1,1,2,2,1
1,1,10,5,5,54.83,60.85,48.2,3,2,4,4,2,3,4,3,2,2,1,1,1,1,1,1,2,1
2,1,5,5,5,53.76,47.51,59.53,5,2,4,4,4,4,4,4,1,1,1,1,1,1,1,1,4,2
1,1,10,6,7,59.71,57.79,60.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,8,NA,7,54.88,53.31,55.84,4,4,1,1,1,3,3,4,1,3,1,3,2,2,2,2,3,1
1,1,10,5,5,61.64,61.53,60.27,5,3,3,3,4,3,4,3,2,1,2,1,1,1,1,1,4,1
2,1,9,5,5,49.19,48.31,50.17,4,2,3,4,3,3,3,2,2,2,1,1,2,2,1,1,1,2
2,1,8,5,4,44.59,48.21,41.67,4,2,3,4,3,4,4,2,3,2,1,1,1,1,1,1,2,3
1,1,9,4,5,50.46,55.01,45.86,4,2,3,3,4,1,2,2,2,3,3,2,2,1,2,1,3,4
1,1,12,7,6,64.38,72.21,54.73,1,2,4,3,3,4,4,3,2,1,1,1,1,1,1,1,1,1
2,1,10,6,5,64.59,60.76,66.56,3,2,4,4,4,3,3,NA,3,3,1,1,1,1,1,1,2,4
2,1,9,NA,2,45.67,39.76,52.14,3,2,3,3,3,3,3,3,2,1,1,1,1,1,1,1,3,2
2,0,7,1,7,32.64,34.57,32.92,1,1,4,2,3,4,4,4,2,1,1,1,1,2,1,1,5,1
1,1,9,5,5,42.83,42.82,43.76,6,2,4,4,1,4,4,3,2,2,1,1,2,1,1,1,2,3
2,1,9,5,7,34.68,41.6,29.71,3,4,3,3,4,3,3,4,3,2,1,1,1,2,2,1,2,1
1,1,7,5,6,30.59,32.09,31.56,3,2,3,3,1,1,2,3,2,2,2,1,2,2,1,2,1,1
1,1,7,5,3,48.35,56.36,40.56,3,3,3,2,2,1,1,4,2,2,1,3,3,3,2,1,2,1
1,1,3,5,5,51.9,51.06,52.51,4,2,3,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1
2,1,10,7,5,54.3,51.72,56.33,1,2,3,4,2,2,3,3,2,2,1,1,1,1,1,1,2,1
2,1,11,5,6,49.02,49.6,48.57,3,2,3,4,3,3,3,3,2,1,1,1,1,1,1,1,2,1
1,1,10,5,5,42.9,43.19,43.51,3,2,3,3,2,NA,2,2,3,1,1,1,1,1,1,1,2,1
1,1,4,5,5,31.18,35.29,29.47,4,2,3,3,2,4,2,4,2,3,1,1,1,2,2,1,1,2
2,1,10,7,7,39.23,37.8,42.04,5,1,4,4,4,4,4,3,1,1,1,1,1,1,1,1,2,1
1,1,12,6,6,60.29,63.06,56.21,2,2,3,4,4,4,4,1,2,3,1,1,1,3,1,2,2,1
2,1,5,7,7,52.36,51.3,53.13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0,9,5,5,46.49,46.97,46.47,2,2,3,3,2,3,4,2,3,1,1,1,1,1,1,1,3,1
1,1,6,2,5,46.77,54.39,39.57,6,3,3,3,3,3,3,3,2,2,3,1,1,1,1,1,4,1
1,1,9,3,3,45.35,46.06,45.24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,8,NA,2,52.95,52.65,52.87,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
