id,population,source,level,d_middle,d_high,districtname,districtcode,schoolname,schoolcode,positioncode,grade,gender,d_female,race,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,i26,i27,i28,i29,i30,i31,i32,i33,i34,i35,i36,i37,i38,i39,i40,punitive_1,positive_1,sel_1,punitive_2,positive_2,sel_2,punitive_3,positive_3,sel_3,punitive_4,positive_4,sel_4,punitive_5,positive_5,sel_5,i9rev,i14rev,i24rev,i27rev,ii1rev,ii4rev,ii7rev,ii10rev,ii13rev
22R_cLR1hYaHUDZiL2V,1,2,1,0,0,Capital,13,Hartly Elementary School,640,1,15,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,1,4,4,1,4,3,2,4,4,1,3,4,3,4,4,3,3,4,4,3,4
22R_3GrYvDvXlT2KH9M,1,2,1,0,0,Christina,33,Downes (John R.) Elementary School,318,1,1,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,2,3,1,4,4,1,3,3,2,4,4,3,4,4,3,4,4,4,4,3
22R_2fKaQkq8TMfgPNH,1,2,1,0,0,Woodbridge,35,Phillis Wheatley Elementary School,779,1,4,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,4,4,2,4,4,2,4,4,2,3,3,3,4,4,3,4,4,3,3,3
22R_eaHffWc14DZ5AqJ,1,2,1,0,0,Brandywine,31,Forwood Elementary School,124,1,4,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,2,3,4,1,4,4,1,4,3,1,4,4,3,4,4,4,4,3,4,4,4
22R_3UTyNLKijWagN3P,1,2,1,0,0,Appoquinimink,29,Bunker Hill Elementary School,28,1,1,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,2,3,4,1,4,4,1,3,4,1,4,4,3,4,4,4,4,3,4,4,4
22R_2VpCg5jUALeWb0t,1,2,1,0,0,Cape Henlopen,17,Milton Elementary School,721,4,15,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,4,4,3,4,4,4,4,4,1,4,4,2,4,4,2,4,4,2,4,4,1,3,4,3,4,4,4,4,3,3,3,4
22R_cI64wwpokRQA6E9,1,2,1,0,0,Woodbridge,35,Phillis Wheatley Elementary School,779,1,3,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,4,4,1,4,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,1,4,4,2,4,4,1,4,4,1,3,4,3,4,4,4,4,4,3,4,4
22R_4Ta16My5LoSkD2V,2,2,1,0,0,Cape Henlopen,17,Rehoboth Elementary School,722,1,4,2,0,7,4,4,4,4,4,4,4,4,2,4,4,4,4,1,4,4,4,4,4,4,3,4,4,2,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,1,4,4,1,4,4,1,4,4,1,4,4,3,4,3,3,3,4,4,4,4
22R_2TUh8EsXiSNjI7s,1,2,1,0,0,Cape Henlopen,17,Shields (Richard A.) Elementary School,712,2,15,1,1,7,4,4,4,4,4,4,4,4,2,4,4,3,4,2,4,4,4,4,4,4,4,4,4,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,3,4,1,4,4,3,4,4,2,4,4,3,3,4,3,3,3,4,2,3
22R_1Lo0Im0d0jGTPAm,2,2,1,0,0,Capital,13,Hartly Elementary School,640,1,1,2,0,7,4,4,4,4,4,4,4,4,2,4,4,3,3,2,3,3,4,4,4,4,4,4,3,2,3,4,2,4,4,4,4,4,3,4,3,4,3,4,3,3,2,4,4,2,4,4,2,4,4,2,3,4,1,3,4,3,3,3,3,3,3,3,3,4
22R_3fE1JgKzba5XFsx,1,2,1,0,0,Lake Forest,15,Lake Forest South Elementary School,662,1,2,1,1,7,4,4,4,4,4,4,4,4,2,4,3,4,4,3,4,4,4,4,4,4,4,4,4,1,4,4,1,4,3,3,3,4,4,4,3,4,4,4,4,4,1,4,4,1,4,4,2,4,4,1,4,4,1,4,4,3,2,4,4,4,4,3,4,4
22R_1P6tVBr7toWzaxj,2,2,1,0,0,Christina,33,Gallaher (Robert S.) Elementary School,320,1,4,2,0,7,4,4,4,4,4,4,4,4,2,4,3,4,4,3,4,4,4,4,4,4,3,4,4,2,4,4,2,4,4,3,3,4,4,4,4,4,4,4,4,4,2,4,4,1,4,4,2,4,4,2,4,4,1,3,4,3,2,3,3,3,4,3,3,4
22R_uyrOQGaaklrkPtf,2,2,1,0,0,Appoquinimink,29,Townsend Elementary School,14,4,15,2,0,7,4,4,4,4,4,4,4,4,2,4,3,4,4,3,4,3,4,4,4,4,3,4,4,2,4,4,2,4,4,3,3,4,4,4,4,4,4,4,4,4,1,3,3,3,3,3,1,3,4,2,3,3,1,3,4,3,2,3,3,4,2,4,3,4
22R_3rgvrBkex4Z4LBL,1,2,1,0,0,Colonial,34,Wilbur (Kathleen H.) Elementary,422,1,5,2,0,7,4,4,4,4,4,4,4,4,2,4,3,4,4,2,4,4,3,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,1,3,3,2,4,1,1,3,4,1,3,4,3,3,4,4,4,4,3,4,4
