AB39M,AB39T,AB39U,AB39W,AB39X,GA33A,GA33H,GA33I,GA33K,GA33L,ENGINEER,MATHG7,MATHG8,MATHG10,MATHG11,MATHG12,FEMALE,KA9B,KA9C,KA9D,KA9G,KA9K,CPROB11,CPROB12,CPROB13,CPROB14,CMOD1,CASENUM
0,0,0,0,0,0,1,1,1,1,0,58.83,58.28,69.47,74.75,78.66,1,1,1,1,1,1,0,0,0.117,0.883,4,1184
1,1,0,0,0,9999,9999,9999,9999,9999,9999,44.63,36.99,9999,9999,9999,0,9999,9999,9999,9999,9999,0.006,0,0.994,0,3,1186
1,0,0,1,1,1,0,0,1,1,0,71.01,76.16,90.01,94.31,96.39,0,1,0,1,1,1,0.031,0.964,0,0.006,2,1190
1,1,0,0,0,1,1,0,0,1,0,55.5,57.63,67.61,69.17,73.07,1,1,0,1,1,1,0.006,0,0.994,0,3,1191
1,0,1,1,0,1,0,1,1,0,0,55.71,43.79,62.52,66.62,9999,0,9999,9999,9999,9999,9999,0.056,0,0.94,0.005,3,1193
1,0,0,1,0,1,1,1,0,0,9999,57.04,59.93,67.42,9999,9999,1,9999,9999,9999,9999,9999,0.004,0,0.643,0.353,3,1194
0,9999,0,0,0,9999,9999,9999,9999,9999,9999,39.46,35.18,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.17,0.829,4,1195
1,0,0,0,0,1,0,0,0,0,0,60.02,62.28,63.56,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.307,0.693,4,1196
0,0,0,0,0,1,1,1,0,0,0,46.98,47.27,55.39,54.4,9999,0,0,1,1,1,1,0,0,0.117,0.883,4,1198
1,1,1,1,1,9999,9999,9999,9999,9999,9999,31.07,38.5,9999,9999,9999,0,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,1199
0,0,0,0,0,0,0,0,0,0,0,42.85,53.7,57.56,64.72,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,1202
0,0,0,0,0,0,0,0,0,0,0,53.5,62.15,64.46,65.36,9999,0,1,1,0,0,1,0,0,0.117,0.883,4,1208
0,1,0,1,0,9999,9999,9999,9999,9999,0,68.84,75.05,9999,84.18,9999,1,9999,9999,9999,9999,9999,0.033,0,0.967,0,3,1209
0,0,0,1,0,9999,9999,9999,9999,9999,9999,47.61,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.353,0.647,4,1211
0,0,0,1,0,1,1,1,1,1,0,44.54,9999,42.64,62.82,60.47,1,1,0,1,1,0,0,0,0.353,0.647,4,1212
1,1,1,1,1,1,1,0,1,1,0,68.16,76.64,78.03,87.69,9999,1,1,1,1,1,1,0.957,0.043,0,0,1,1214
1,1,1,1,1,9999,9999,9999,9999,9999,9999,47.38,9999,9999,70.83,9999,0,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,1217
1,0,1,0,0,0,0,0,0,0,9999,47.83,42.49,58.1,58.81,9999,1,9999,9999,9999,9999,9999,0.002,0,0.977,0.021,3,1218
1,1,1,1,1,1,0,1,1,0,9999,47.91,54.93,68.26,69.56,72.38,1,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,1219
0,1,0,0,0,0,0,0,0,0,0,48.56,51.44,60.67,63.32,57.18,1,1,1,1,1,1,0.001,0,0.999,0,3,1222
0,0,1,1,1,9999,9999,9999,9999,9999,0,73.7,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,0.122,0.877,0,0,2,1223
1,0,0,0,1,1,0,0,0,0,0,64.49,69.27,76.77,75.94,84.86,0,1,0,1,1,1,0.003,0.937,0,0.06,2,1225
1,1,1,1,0,9999,9999,9999,9999,9999,9999,35.45,35.02,41.04,33.44,9999,0,9999,9999,9999,9999,9999,0.65,0,0.35,0,1,1227
0,0,0,0,0,9999,9999,9999,9999,9999,9999,40.91,46.73,9999,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,1228
0,0,0,0,0,0,1,0,1,0,0,53.08,53.7,67.58,65.84,67.42,1,0,0,0,0,0,0,0,0.117,0.883,4,1229
1,1,0,0,1,9999,9999,9999,9999,9999,9999,48.17,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,0.121,0.879,0,0,2,1231
1,0,0,0,1,1,0,0,1,1,9999,69.53,77.98,89.68,97.39,94.53,0,0,0,0,0,0,0.003,0.937,0,0.06,2,1232
1,1,1,1,1,1,0,0,1,0,0,52.86,62.73,9999,78.56,9999,0,1,1,1,1,1,0.957,0.043,0,0,1,1233
1,1,1,1,1,1,0,0,0,1,9999,39.29,66.34,9999,9999,56.29,0,1,0,1,1,1,0.957,0.043,0,0,1,1234
1,1,1,1,1,1,1,1,1,1,9999,40.08,34.07,9999,9999,56.13,0,1,0,1,1,0,0.957,0.043,0,0,1,1235
