10070	199408	2.0218	1	8	4	7	61.1801	59.5097	3.5	3.5	10	8	2	2	3	4	4	4	4	4	.	4	4	3	0	2	2	3	4	4	4	3	3	4	3	4	2	0	1	2	1	3	1	1	1	1	2
10071	199410	-0.2749	2	8	.	.	48.5055	50.4151	2.5	2	11	.	2	2	2	3	3	2	2	2	2	2	3	3	0	1	1	2	3	3	2	2	2	2	2	3	2	0	2	2	2	3	2	3	2	2	3
10072	199403	-0.0998	2	8	2	2	43.2763	39.6578	3.5	3	2	4	2	2	3	4	4	3	2	3	3	3	4	3	0	2	2	3	3	3	3	2	2	3	3	3	3	0	2	2	2	3	2	2	1	1	1
10074	199510	-0.2813	2	6	2	2	49.3308	36.1914	2	1.5	10	2	3	2	3	3	2	2	3	3	2	3	3	3	0	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	1	4	2	2	1	2	3
10075	199310	-0.231	2	8	2	4	49.573	49.3473	3	3	8	6	3	2	2	3	2	3	2	3	3	3	3	2	0	1	1	.	.	.	.	.	.	.	.	.	.	.	2	1	1	4	1	4	1	1	2
10076	199400	.	1	.	.	.	.	36.1933	1.5	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
10077	199509	-0.5803	2	8	2	2	53.9985	53.632	2.5	2.5	6	4	3	3	3	4	4	3	3	3	4	3	4	3	0	3	2	.	.	.	.	.	.	.	.	.	.	.	1	2	2	3	2	3	2	2	2
10078	199504	2.1586	1	3	5	7	73.529	65.5973	4	3.5	10	6	4	4	2	4	3	4	3	4	4	4	4	4	1	3	3	3	4	3	4	3	3	4	3	3	3	0	2	2	2	4	1	1	1	1	1
10079	199511	0.0865	2	6	2	.	61.4345	55.9613	.	2.5	11	4	2	3	1	3	2	3	2	3	3	3	4	3	0	4	4	3	3	4	3	3	3	3	3	4	3	1	2	2	3	3	1	2	1	1	2
10080	199503	0.2028	2	3	4	.	38.6225	45.1579	1	2.5	11	6	2	3	3	4	3	2	2	3	3	2	4	4	0	1	1	2	3	2	2	1	2	1	1	1	1	0	2	1	3	3	1	3	1	1	3
10081	199500	.	2	.	.	.	.	45.059	2.5	2.5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
10082	199400	.	1	.	.	.	.	33.3081	1	1.5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
10084	199509	0.0884	1	8	3	2	67.0552	55.8666	4	4	8	6	3	3	2	3	3	3	3	3	3	3	3	3	0	2	2	3	3	3	3	2	3	3	3	3	3	0	1	1	1	3	2	1	1	1	1
10085	199405	-0.2902	1	8	.	.	45.2292	60.3485	2	1.5	4	.	1	1	3	3	3	2	2	3	3	1	2	2	0	3	3	3	3	3	3	3	3	3	3	3	3	1	2	1	2	3	2	3	2	1	2
10086	199505	-0.0996	2	2	.	.	63.5164	63.9407	.	.	8	.	3	3	2	4	4	3	2	3	3	3	3	3	0	3	3	2	3	3	3	2	3	3	3	3	3	1	2	2	2	3	1	2	1	1	1
